"class","area_2018_km2","area_2024_km2","change_km2"
"Crops",2300.55736522805,2170.03962856646,-130.517736661586
"Water",4257.26942052737,4382.90782639111,125.638405863736
"Bare ground",407.740441384415,309.811670298515,-97.9287710859001
"Built area",673.799073882444,765.918408644152,92.1193347617085
"Flooded vegetation",69.4412302868826,86.2782251451127,16.8369948582301
"Trees",73.9482085929448,60.4109237694212,-13.5372848235236
"Shrub & scrub",37.6223384393851,46.9995194617896,9.3771810224045
"Grass",5.84817544346711,2.47580505769658,-3.37237038577053
"Snow & ice",0.180288515123241,1.56453496093568,1.38424644581243
