"class","band","weight","abs_weight"
"0","A38",-4.03715845597709,4.03715845597709
"0","A40",-3.29862965138593,3.29862965138593
"0","A54",-3.08935237373833,3.08935237373833
"0","A61",-2.95367058062748,2.95367058062748
"0","A47",2.60092091156193,2.60092091156193
"0","A03",2.5583938946902,2.5583938946902
"0","A09",2.55489016140151,2.55489016140151
"0","A63",2.48300467543398,2.48300467543398
"0","A36",2.4643206909711,2.4643206909711
"0","A32",2.4518092108923,2.4518092108923
"0","A30",-2.37740977287811,2.37740977287811
"0","A34",-2.32814903067808,2.32814903067808
"0","A31",2.25494496432921,2.25494496432921
"0","A24",-2.13473362470268,2.13473362470268
"0","A27",-2.1207750201779,2.1207750201779
"1","A50",-3.29433163836124,3.29433163836124
"1","A55",2.83097404560052,2.83097404560052
"1","A07",2.66208936135065,2.66208936135065
"1","A38",2.59216768392958,2.59216768392958
"1","A05",-2.5721416761077,2.5721416761077
"1","A32",-2.46910883650356,2.46910883650356
"1","A52",2.33908459483635,2.33908459483635
"1","A54",-2.21618328039512,2.21618328039512
"1","A24",2.16166060308769,2.16166060308769
"1","A47",-1.95159206882659,1.95159206882659
"1","A26",-1.78302161695609,1.78302161695609
"1","A16",-1.71852327731165,1.71852327731165
"1","A06",1.69381428909455,1.69381428909455
"1","A18",-1.69111269603512,1.69111269603512
"1","A37",-1.64145686626333,1.64145686626333
"3","A28",2.6291086026857,2.6291086026857
"3","A49",1.96240558001313,1.96240558001313
"3","A06",-1.84357335251981,1.84357335251981
"3","A40",-1.67792237794294,1.67792237794294
"3","A52",1.64924804406245,1.64924804406245
"3","A45",1.62408803046024,1.62408803046024
"3","A37",1.59485679269349,1.59485679269349
"3","A23",1.27280789042073,1.27280789042073
"3","A36",1.25565170912735,1.25565170912735
"3","A61",1.23391370453985,1.23391370453985
"3","A35",1.20677463449799,1.20677463449799
"3","A62",1.18034159804334,1.18034159804334
"3","A09",1.15004604460045,1.15004604460045
"3","A18",-1.1052125777576,1.1052125777576
"3","A12",1.08853040216389,1.08853040216389
"4","A60",-3.45049704705282,3.45049704705282
"4","A43",-3.21604783205517,3.21604783205517
"4","A56",-3.20419644333992,3.20419644333992
"4","A13",2.92179071612982,2.92179071612982
"4","A45",-2.91911602653663,2.91911602653663
"4","A00",-2.82626388496211,2.82626388496211
"4","A50",2.82134389422778,2.82134389422778
"4","A54",2.76563081319954,2.76563081319954
"4","A58",-2.71413362194411,2.71413362194411
"4","A40",2.70117417600268,2.70117417600268
"4","A01",2.68598614251714,2.68598614251714
"4","A53",-2.65849453067528,2.65849453067528
"4","A20",-2.65587584282959,2.65587584282959
"4","A10",-2.46176591408988,2.46176591408988
"4","A38",2.3025792220182,2.3025792220182
"5","A38",0.868534829205244,0.868534829205244
"5","A54",0.479993535410113,0.479993535410113
"5","A09",-0.457920174397334,0.457920174397334
"5","A15",-0.425002342565769,0.425002342565769
"5","A30",0.405385356924342,0.405385356924342
"5","A62",-0.392243333653862,0.392243333653862
"5","A61",0.354372669084033,0.354372669084033
"5","A60",0.35041280333381,0.35041280333381
"5","A07",-0.348676275935649,0.348676275935649
"5","A45",-0.315707745133731,0.315707745133731
"5","A40",0.311178504481731,0.311178504481731
"5","A12",-0.290396696554511,0.290396696554511
"5","A25",0.268027251383503,0.268027251383503
"5","A01",-0.248369781152553,0.248369781152553
"5","A63",-0.243166847287867,0.243166847287867
"6","A52",-3.72662660156778,3.72662660156778
"6","A60",3.44731071321612,3.44731071321612
"6","A55",-2.98571795123565,2.98571795123565
"6","A07",-2.98176738496893,2.98176738496893
"6","A54",2.93546842693793,2.93546842693793
"6","A09",-2.85181829687359,2.85181829687359
"6","A43",2.83589084746606,2.83589084746606
"6","A34",2.77600437623355,2.77600437623355
"6","A05",-2.75031522182327,2.75031522182327
"6","A16",2.73103406742669,2.73103406742669
"6","A01",-2.50143840838117,2.50143840838117
"6","A23",-2.47314894413838,2.47314894413838
"6","A38",-2.20698593251938,2.20698593251938
"6","A32",-2.14555711569897,2.14555711569897
"6","A02",2.08712724468045,2.08712724468045
"7","A32",2.65453243638361,2.65453243638361
"7","A34",-2.28380267870161,2.28380267870161
"7","A28",-2.23775787154158,2.23775787154158
"7","A30",1.82032706668466,1.82032706668466
"7","A05",1.76157300149023,1.76157300149023
"7","A19",-1.52428032197599,1.52428032197599
"7","A58",1.5064610685528,1.5064610685528
"7","A55",-1.45905576536473,1.45905576536473
"7","A62",-1.42582841600395,1.42582841600395
"7","A53",-1.38320385448438,1.38320385448438
"7","A61",-1.3793863202435,1.3793863202435
"7","A33",-1.37699295808958,1.37699295808958
"7","A26",1.35098972447114,1.35098972447114
"7","A03",-1.34037497652298,1.34037497652298
"7","A49",-1.22519268151173,1.22519268151173
