"class_id","class_name","area_start","area_end","change_km2","change_pct","rate_km2_yr"
4,"Crops",2913.6396,2748.2265,-165.4131,-5.67719837415718,-27.56885
0,"Water",5395.2532,5554.3651,159.1119,2.94910904274149,26.51865
7,"Bare ground",516.8691,392.9484,-123.9207,-23.9752579521585,-20.65345
6,"Built area",852.1447,968.8093,116.6646,13.6907029991503,19.4441
3,"Flooded vegetation",88.0187,109.3797,21.361,24.2687065362247,3.56016666666667
1,"Trees",93.7407,76.5725,-17.1682,-18.314563471363,-2.86136666666667
5,"Shrub & scrub",47.7474,59.6343,11.8869,24.8953869739504,1.98115
2,"Grass",7.4081,3.1341,-4.274,-57.6936056478719,-0.712333333333333
8,"Snow & ice",0.2283,1.9799,1.7516,767.236092860272,0.291933333333333
